,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
45,2019-04-02,73.86,74.18,73.41,73.57,73.3296,3069299.0,0.0,GOOGL
46,2019-04-01,73.0,73.98,72.65,73.85,73.6087,3561871.0,0.0,GOOGL
47,2019-03-29,72.02,72.85,71.97,72.45,72.2132,4475282.0,0.0,GOOGL
48,2019-03-28,71.89,71.89,71.035,71.58,71.3461,2495830.0,0.0,GOOGL
49,2019-03-27,71.13,71.47,70.32,71.03,70.7979,2040349.0,0.0,GOOGL
50,2019-03-26,71.23,71.7275,70.67,71.09,70.8577,2295453.0,0.0,GOOGL
51,2019-03-25,70.74,70.885,70.005,70.75,70.5188,1983705.0,0.0,GOOGL
52,2019-03-22,71.96,72.06,70.64,70.89,70.6583,2711811.0,0.0,GOOGL
53,2019-03-21,71.49,72.64,71.41,72.2,71.9641,4141701.0,0.0,GOOGL
54,2019-03-20,72.17,72.43,71.32,71.71,71.4757,2161278.0,0.0,GOOGL
55,2019-03-19,72.31,72.44,71.8,72.02,71.7846,2537279.0,0.0,GOOGL
56,2019-03-18,72.1,72.32,71.22,71.88,71.6451,2376890.0,0.0,GOOGL
57,2019-03-15,71.06,72.36,70.94,72.13,71.8943,4805860.0,0.0,GOOGL
58,2019-03-14,71.22,71.47,70.85,70.93,70.6982,2577521.0,0.0,GOOGL
59,2019-03-13,71.93,72.33,71.15,71.21,70.9773,3926930.0,0.0,GOOGL
60,2019-03-12,72.3,72.61,71.68,71.78,71.5454,3622793.0,0.0,GOOGL
61,2019-03-11,71.37,72.39,71.3,72.35,72.1136,3159171.0,0.0,GOOGL
62,2019-03-08,71.61,72.0,70.565,71.15,70.9175,3912538.0,0.0,GOOGL
63,2019-03-07,72.32,72.72,71.66,72.33,72.0936,5296339.0,0.0,GOOGL
64,2019-03-06,71.42,72.0299,71.19,71.46,71.2265,2691272.0,0.0,GOOGL
65,2019-03-05,71.69,71.99,71.34,71.39,71.1567,2112949.0,0.0,GOOGL
66,2019-03-04,72.56,72.88,71.01,71.76,71.5255,3278447.0,0.0,GOOGL
67,2019-03-01,70.91,72.22,70.8,72.13,71.8943,2947859.0,0.0,GOOGL
68,2019-02-28,71.25,71.76,70.88,70.98,70.748,3699295.0,0.0,GOOGL
69,2019-02-27,71.72,71.725,70.96,71.31,71.077,5050381.0,0.0,GOOGL
70,2019-02-26,72.43,72.54,71.76,72.04,71.8046,3629164.0,0.0,GOOGL
71,2019-02-25,72.93,73.0,72.14,72.25,72.0139,4105293.0,0.0,GOOGL
72,2019-02-22,71.69,72.42,71.485,72.38,72.1435,5585528.0,0.0,GOOGL
73,2019-02-21,72.1,72.415,71.12,71.34,71.1069,4739089.0,0.0,GOOGL
74,2019-02-20,73.27,73.41,71.855,72.25,72.0139,3171388.0,0.2,GOOGL
75,2019-02-19,73.21,73.57,72.635,73.18,72.7395,3955742.0,0.0,GOOGL
76,2019-02-15,73.71,74.05,73.08,73.56,73.1172,2875181.0,0.0,GOOGL
77,2019-02-14,73.06,73.64,72.92,73.12,72.6799,1496249.0,0.0,GOOGL
78,2019-02-13,74.16,74.35,73.18,73.58,73.1371,2998419.0,0.0,GOOGL
79,2019-02-12,73.42,73.62,72.875,73.45,73.0079,3404047.0,0.0,GOOGL
80,2019-02-11,73.35,73.87,72.88,72.97,72.5308,3986162.0,0.0,GOOGL
81,2019-02-08,72.46,73.54,72.175,73.16,72.7196,4613228.0,0.0,GOOGL
82,2019-02-07,74.18,74.45,71.42,72.99,72.5506,5880643.0,0.0,GOOGL
83,2019-02-06,70.02,74.69,70.0001,74.5,74.0515,7242131.0,0.0,GOOGL
84,2019-02-05,71.35,71.87,71.11,71.21,70.7814,3978238.0,0.0,GOOGL
85,2019-02-04,70.07,71.509,69.945,71.29,70.8609,3382093.0,0.0,GOOGL
86,2019-02-01,69.95,70.94,69.78,70.14,69.7178,3218566.0,0.0,GOOGL
87,2019-01-31,69.86,70.31,69.41,69.68,69.2606,3504260.0,0.0,GOOGL
88,2019-01-30,68.73,70.1,68.54,69.8,69.3798,3646179.0,0.0,GOOGL
89,2019-01-29,69.0,69.23,68.38,68.66,68.2467,2902021.0,0.0,GOOGL
90,2019-01-28,69.27,69.38,68.34,68.95,68.535,2771000.0,0.0,GOOGL
91,2019-01-25,70.25,70.32,69.25,70.02,69.5985,4073868.0,0.0,GOOGL
92,2019-01-24,67.12,68.15,66.92,68.12,67.71,3335968.0,0.0,GOOGL
93,2019-01-23,66.96,67.45,66.21,67.06,66.6563,3350206.0,0.0,GOOGL
94,2019-01-22,67.3,67.69,66.27,66.8,66.3979,3698050.0,0.0,GOOGL
95,2019-01-18,67.55,68.03,66.97,67.82,67.4118,3904860.0,0.0,GOOGL
96,2019-01-17,65.49,66.74,65.2,66.55,66.1494,2367809.0,0.0,GOOGL
97,2019-01-16,65.9,66.08,65.45,65.79,65.394,3496857.0,0.0,GOOGL
98,2019-01-15,64.84,66.25,64.65,65.99,65.5928,3551099.0,0.0,GOOGL
99,2019-01-14,64.46,65.02,64.34,64.63,64.241,4407461.0,0.0,GOOGL
